seed	result	game_min	js_errors	failed_ai	harness
160	win	26.3	0	0	1
161	win	26.6	0	0	1
162	timeout	45.0	0	0	1
163	win	25.9	0	0	1
164	win	22.2	0	0	1
165	win	21.7	0	0	1
166	win	21.9	0	0	1
167	win	23.1	0	0	1
168	win	27.2	0	0	1
169	win	26.3	0	0	1
170	timeout	45.0	0	0	1
171	win	23.8	0	0	1
172	timeout	45.0	0	0	1
173	win	33.4	0	0	1
174	win	21.0	0	0	1
175	win	29.1	0	0	1
176	win	29.5	0	0	1
177	win	26.5	0	0	1
178	win	24.5	0	0	1
179	win	29.7	0	0	1
180	win	26.4	0	0	1
181	win	33.7	0	0	1
182	win	29.6	0	0	1
183	win	28.5	0	0	1
184	win	25.0	0	0	1
185	win	23.0	0	0	1
186	win	21.7	0	0	1
187	win	23.0	0	0	1
188	win	28.3	0	0	1
189	win	21.8	0	0	1
190	win	33.4	0	0	1
191	win	33.7	0	0	1
192	win	32.2	0	0	1
193	win	35.4	0	0	1
194	win	33.5	0	0	1
195	win	21.8	0	0	1
196	win	23.9	0	0	1
197	win	26.4	0	0	1
198	win	23.4	0	0	1
199	win	27.3	0	0	1
200	win	24.9	0	0	1
201	win	23.0	0	0	1
202	win	24.9	0	0	1
203	win	26.0	0	0	1
204	win	31.4	0	0	1
205	win	28.3	0	0	1
206	win	21.4	0	0	1
207	win	25.7	0	0	1
208	win	26.0	0	0	1
209	win	27.2	0	0	1
210	win	29.1	0	0	1
211	win	25.8	0	0	1
212	win	33.8	0	0	1
213	win	25.9	0	0	1
214	win	24.5	0	0	1
215	timeout	45.0	0	0	1
216	win	24.3	0	0	1
217	win	23.6	0	0	1
218	win	28.0	0	0	1
219	win	34.3	0	0	1
220	win	23.2	0	0	1
221	win	30.8	0	0	1
222	win	23.6	0	0	1
223	win	31.7	0	0	1
224	win	24.1	0	0	1
225	win	28.1	0	0	1
226	win	25.8	0	0	1
227	win	23.1	0	0	1
228	win	30.6	0	0	1
