seed	result	minutes	errors	batch	job	artifacts
51	win	35.0		e29effb0575bf2ef3f77938d	d5684ac8aec2c816fd6609d1340d84cd	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s51
52	win	44.2		5eeb1c238451737f6f52aeb0	122a70c0f33d9a18780d1d63baa1e934	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s52
53	win	35.0		29f01f47d98418438f97534c	375a0e54d1c9304903157dc8b2c373db	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s53
54	win	33.6		5484317e4bee83a3190bccdf	719baca8840af9fe15283e9e0282947d	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s54
55	win	42.5		b8d9d2f265e7b95d6ea82d2b	f64bf1460ad88d74534171dc486a0d9f	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s55
56	win	37.1		d6f7e2182fb956b428d1876b	9deae16b74cc2f40c07b95eda39e1509	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s56
57	timeout	45.0		9a9c54af2acfa021b30c0c5b	da84b14ea9a7aee07321243cd6187cb7	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s57
58	win	39.0		fdbeb1ccde381c4a03bc26db	14e972232be0e939fdbc6f849b7ca539	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s58
59	win	31.7		cb4c81f55637b6713385ec9b	2e80810ac15d03bdf0f34760b86184b9	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s59
60	timeout	45.0		c98a1f9e8d4360955bb83f77	8c189368586648a702293ea7dc15be25	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s60
61	timeout	45.0		ee6869f6580c926a1ca15772	ee6ed8a71c3c1f14a1012f685a6f723e	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s61
62	win	35.9		3502198c14cd079b529ddcbb	d46cf5adb845ec6c59e7fa46a1010ec4	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s62
63	timeout	45.0		887f77cbc4bc2b25a1c298c4	07a1fec138d5c8d3ea4fa7d0bd595874	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s63
64	win	34.8		0d8d5db32e7fb46bfe77150a	cda5333429edd60bd0a6744e1a793f99	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s64
65	win	38.4		95eb1d472fca7af8b8689447	51dcbb3492ca41f582af23fb2e6c7af6	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s65
66	win	41.9		bff20b41baec8399211ee703	648e68e2629c313a24cc5dbf88132a4a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s66
67	win	32.5		e21372bc61107fbec4830bcb	3b84087ad829b3eb5e76d057b2312771	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s67
68	win	40.5		0bcadfe5d0963156e3cc649c	8d9d0b28c528bcd850b7b8d4b252aeb4	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s68
69	timeout	45.0		a3556b148b06f526dee2702d	ef9fc26905abf65c4785fc4aaaab7b93	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s69
70	timeout	45.0		b7becf56f6a10f5f58f7c78f	6b915f8328145ed67a549bdeb92a6ab9	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s70
71	win	34.4		d4f110e64ea6f7cc7e9c1cec	d430f91ebbf4ea2ec7570a467cf191f1	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s71
72	win	36.9		bfdd0122d476a427b52ef5f8	11f6881c82648dd70446570f64691c3d	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s72
