seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	muster	musengage	swat	caplost	capCC	capTotal	ccDestroyed
48	win	26.6	0	0	1	0	0	7	6	2	0	0	0	2
49	win	33.2	0	0	1	1	1	5	5	0	0	1	0	1
50	win	25.9	0	0	1	0	0	4	4	0	0	0	0	1
51	win	31.0	0	0	1	0	0	8	5	1	0	0	0	2
52	win	41.5	0	0	1	0	1	15	5	1	0	0	0	3
53	win	23.9	0	0	1	1	0	4	3	0	0	1	0	1
54	win	28.7	0	0	1	0	0	5	5	1	0	0	0	1
55	win	32.3	0	0	1	0	0	9	6	2	0	0	0	2
56	win	27.2	0	0	1	0	0	3	2	0	0	0	0	2
57	win	27.0	0	0	1	0	0	8	7	2	0	0	0	2
58	win	23.0	0	0	1	0	0	2	2	1	0	0	0	2
59	win	23.0	0	0	1	0	0	4	1	1	0	0	0	2
60	win	32.2	0	0	1	0	1	1	1	1	0	0	0	1
61	win	30.1	0	0	1	0	0	7	8	0	0	0	0	1
62	win	27.4	0	0	1	0	0	8	7	2	0	0	0	2
63	win	41.2	0	0	1	0	0	10	10	0	0	0	0	2
64	win	34.6	0	0	1	0	0	7	5	2	0	0	0	1
65	win	40.0	0	0	1	0	0	7	6	1	0	0	0	2
66	win	43.6	0	0	1	0	0	16	10	0	0	0	0	3
67	win	24.1	0	0	1	0	0	4	3	2	0	0	0	1
68	win	33.1	0	0	1	0	0	7	9	4	0	0	0	2
69	win	38.7	0	0	1	0	0	13	10	0	0	0	0	3
70	win	39.0	0	0	1	0	1	8	6	1	0	0	0	1
71	win	26.8	0	0	1	0	0	3	1	0	0	0	0	3
72	win	33.1	0	0	1	1	0	7	8	0	0	1	0	1
73	win	24.5	0	0	1	1	0	7	5	2	0	1	0	1
74	win	27.3	0	0	1	0	0	4	5	1	0	1	0	2
75	win	24.7	0	0	1	0	0	4	2	0	0	0	0	2
76	timeout	45.0	0	0	1	0	0	14	12	0	0	0	0	1
77	win	28.3	0	0	1	0	0	5	7	1	0	0	0	3
78	win	23.0	0	0	1	0	0	1	1	0	0	0	0	2
79	win	27.4	0	0	1	0	0	9	6	2	0	0	0	2
80	timeout	45.0	0	0	1	0	0	15	14	4	0	0	0	2
81	win	27.5	0	0	1	1	0	8	8	2	0	1	0	1
82	win	24.6	0	0	1	0	0	4	5	0	0	0	0	2
83	win	26.9	0	0	1	1	0	3	2	1	0	1	0	0
84	win	22.5	0	0	1	0	0	2	2	0	0	0	0	2
